timestamp,ros_delay_ms,yolo_infer_ms,node_latency_ms,roi_kb,detections,gpu_%,cpu_%,power_mW,ram_MB
1776591350.6471643,152.79,21.04,31.16,10.5,2,43,45.2,7435,6115
1776591350.6805592,153.73,21.03,31.4,10.5,2,43,45.2,7435,6115
1776591350.7128222,153.59,20.78,29.93,10.5,2,43,45.2,7435,6115
1776591350.744029,153.91,19.84,29.09,10.5,2,43,45.2,7435,6115
1776591350.7759802,152.69,20.16,29.89,10.6,2,43,45.2,7435,6115
1776591350.8082793,150.5,20.39,29.83,10.6,1,43,45.2,7435,6115
1776591350.8404026,149.65,20.07,29.23,10.6,2,16,44.3,7396,6116
1776591350.8716433,164.55,20.39,29.49,10.6,2,16,44.3,7396,6116
1776591350.90338,160.94,20.45,29.94,10.6,2,16,44.3,7396,6116
1776591350.934707,160.99,20.41,29.47,10.6,2,16,44.3,7396,6116
1776591350.9661798,160.63,20.06,29.49,10.7,2,16,44.3,7396,6116
1776591350.9976747,159.88,20.06,29.63,10.8,2,16,44.3,7396,6116
1776591351.0290978,148.85,20.03,29.61,10.8,2,16,44.3,7396,6116
1776591351.0608659,157.3,20.16,29.7,10.7,2,16,44.3,7396,6116
1776591351.0924618,150.46,20.4,29.72,10.7,2,16,44.3,7396,6116
1776591351.1244185,149.34,20.8,29.92,10.7,2,16,44.3,7396,6116
1776591351.1554232,164.54,20.21,29.21,10.7,2,16,44.3,7396,6116
1776591351.1865687,163.33,20.26,29.3,10.6,2,16,44.3,7396,6116
1776591351.217667,159.13,20.29,29.32,10.3,2,16,44.3,7396,6116
1776591351.2493846,160.04,20.57,29.8,10.2,2,16,44.3,7396,6116
1776591351.2805605,158.91,19.93,29.45,10.1,2,16,44.3,7396,6116
1776591351.3122482,155.82,20.24,29.81,10.2,2,16,44.3,7396,6116
1776591351.3437734,155.31,20.24,29.54,10.3,2,16,44.3,7396,6116
1776591351.3750622,153.4,20.14,29.35,10.3,2,16,44.3,7396,6116
1776591351.407634,160.77,20.12,30.51,10.2,2,16,44.3,7396,6116
1776591351.4394252,165.9,20.51,29.95,10.2,2,16,44.3,7396,6116
1776591351.471833,162.51,21.1,30.53,10.2,2,16,44.3,7396,6116
1776591351.5034297,163.55,20.46,30.0,10.1,2,16,44.3,7396,6116
1776591351.5350006,161.69,20.11,29.69,10.2,2,16,44.3,7396,6116
1776591351.5657992,160.34,20.06,29.02,10.1,2,16,44.3,7396,6116
1776591351.5962849,156.05,19.93,28.85,9.6,2,16,44.3,7396,6116
1776591351.627352,154.26,20.34,29.17,9.6,2,16,44.3,7396,6116
1776591351.6582608,151.62,19.75,28.92,9.8,2,16,44.3,7396,6116
1776591351.6905794,165.48,20.53,30.54,9.7,2,16,44.3,7396,6116
1776591351.7240627,165.48,21.52,31.38,9.8,2,16,44.3,7396,6116
1776591351.7570975,165.56,21.13,31.19,10.0,2,16,44.3,7396,6116
1776591351.7899163,165.28,20.78,30.35,10.2,2,16,44.3,7396,6116
1776591351.8211217,166.81,20.08,29.31,10.1,2,16,44.3,7396,6116
1776591351.8533373,161.57,20.38,30.51,10.0,2,34,46.0,7396,6117
1776591351.8852358,161.34,20.58,30.17,10.0,2,34,46.0,7396,6117
1776591351.91695,160.06,20.3,29.96,10.1,2,34,46.0,7396,6117
1776591351.9494603,159.83,20.06,30.52,10.1,2,34,46.0,7396,6117
1776591351.9807951,160.04,20.82,29.52,10.2,2,34,46.0,7396,6117
1776591352.0113108,156.15,19.71,28.92,10.4,2,34,46.0,7396,6117
1776591352.043757,152.82,20.29,30.49,10.5,1,34,46.0,7396,6117
1776591352.0785708,152.52,20.52,32.48,10.7,2,34,46.0,7396,6117
1776591352.110037,151.38,20.13,29.77,10.7,1,34,46.0,7396,6117
1776591352.1418169,168.18,20.36,30.0,10.6,2,34,46.0,7396,6117
1776591352.1725678,167.42,19.93,28.84,10.6,1,34,46.0,7396,6117
1776591352.203563,165.19,19.93,29.16,10.6,2,34,46.0,7396,6117
1776591352.235547,164.21,21.56,30.28,10.5,2,34,46.0,7396,6117
1776591352.2661283,162.7,19.97,28.65,10.5,1,34,46.0,7396,6117
1776591352.2969928,156.39,19.86,28.91,10.5,1,34,46.0,7396,6117
1776591352.3275006,155.99,20.12,28.84,10.5,1,34,46.0,7396,6117
1776591352.3596435,152.49,20.11,30.16,10.5,1,34,46.0,7396,6117
1776591352.392042,154.04,20.63,30.13,10.5,1,34,46.0,7396,6117
1776591352.42341,151.71,20.16,29.03,10.5,1,34,46.0,7396,6117
1776591352.454228,159.13,20.16,29.05,10.5,1,34,46.0,7396,6117
1776591352.487652,164.94,21.4,31.77,10.5,1,34,46.0,7396,6117
1776591352.5228572,165.23,20.98,32.88,10.5,1,34,46.0,7396,6117
1776591352.554031,166.39,19.97,29.13,10.5,1,34,46.0,7396,6117
1776591352.584919,163.74,20.2,29.1,10.5,1,34,46.0,7396,6117
1776591352.6157753,162.41,20.37,29.14,10.5,1,34,46.0,7396,6117
1776591352.6466622,156.65,20.03,29.04,10.5,1,34,46.0,7396,6117
1776591352.6774607,157.06,19.93,28.85,10.5,1,34,46.0,7396,6117
1776591352.709308,154.04,21.09,30.16,10.5,1,34,46.0,7396,6117
1776591352.7421649,161.22,21.51,31.16,10.5,1,34,46.0,7396,6117
1776591352.7746253,168.05,20.9,30.3,10.5,1,34,46.0,7396,6117
1776591352.8071089,166.94,21.49,30.4,10.5,1,34,46.0,7396,6117
1776591352.838199,164.4,19.96,29.26,10.5,1,34,46.0,7396,6117
1776591352.8688278,165.21,19.93,28.82,10.5,1,74,44.7,7435,6119
1776591352.8994567,159.66,19.9,28.97,10.5,1,74,44.7,7435,6119
1776591352.930093,157.17,19.87,28.7,10.5,1,74,44.7,7435,6119
1776591352.960823,150.98,19.85,29.02,10.5,1,74,44.7,7435,6119
1776591352.9915545,150.96,19.93,28.91,10.5,2,74,44.7,7435,6119
1776591353.02255,152.53,20.25,29.06,10.5,1,74,44.7,7435,6119
1776591353.0536976,165.61,20.07,29.22,10.5,1,74,44.7,7435,6119
1776591353.0862954,161.46,20.66,31.02,10.5,1,74,44.7,7435,6119
1776591353.1174011,162.39,20.59,29.48,10.5,1,74,44.7,7435,6119
1776591353.1468265,160.41,19.92,27.69,10.5,1,74,44.7,7435,6119
1776591353.1818938,157.72,21.18,33.37,10.5,1,74,44.7,7435,6119
1776591353.2148452,158.5,19.75,31.2,10.5,1,74,44.7,7435,6119
1776591353.246895,158.86,19.56,29.77,10.5,1,74,44.7,7435,6119
1776591353.2769163,156.7,20.0,28.35,10.5,1,74,44.7,7435,6119
1776591353.311124,156.49,20.25,28.66,10.5,2,74,44.7,7435,6119
1776591353.3438964,154.68,20.05,30.9,10.5,2,74,44.7,7435,6119
1776591353.3763103,156.42,19.53,27.02,10.5,0,74,44.7,7435,6119
1776591353.406284,152.37,19.73,28.31,10.5,1,74,44.7,7435,6119
1776591353.4369426,165.48,21.3,29.0,10.5,1,74,44.7,7435,6119
1776591353.4675398,163.77,20.73,29.0,10.4,1,74,44.7,7435,6119
1776591353.499744,161.28,20.58,30.39,10.5,2,74,44.7,7435,6119
1776591353.529917,161.11,19.81,28.33,10.5,1,74,44.7,7435,6119
1776591353.5611718,171.87,20.37,29.37,10.4,1,74,44.7,7435,6119
1776591353.591752,153.79,20.23,28.69,10.5,1,74,44.7,7435,6119
1776591353.6251488,151.49,20.76,31.34,10.4,1,74,44.7,7435,6119
1776591353.6573389,166.27,21.31,30.33,10.5,1,74,44.7,7435,6119
1776591353.6874096,164.94,20.01,28.33,10.5,1,74,44.7,7435,6119
1776591353.7183943,159.16,19.88,29.07,10.5,2,74,44.7,7435,6119
1776591353.749069,159.4,20.14,28.94,10.5,1,74,44.7,7435,6119
1776591353.7818341,159.51,22.07,30.96,10.5,1,74,44.7,7435,6119
1776591353.8169377,158.18,20.88,33.36,10.4,1,74,44.7,7435,6119
1776591353.8554723,161.13,24.31,35.08,10.4,1,74,44.7,7435,6119
1776591353.8862484,146.47,20.43,28.7,10.5,1,67,45.8,7463,6123
1776591353.921511,164.57,21.59,33.63,10.5,1,67,45.8,7463,6123
1776591353.9538963,166.47,21.81,29.54,10.5,1,67,45.8,7463,6123
1776591353.986726,159.02,21.24,31.18,10.5,1,67,45.8,7463,6123
1776591354.0190394,160.79,21.63,30.65,10.4,1,67,45.8,7463,6123
1776591354.0501943,165.49,20.23,29.27,10.4,1,67,45.8,7463,6123
1776591354.0804083,157.95,20.12,28.52,10.5,1,67,45.8,7463,6123
1776591354.1108987,157.28,19.87,28.73,10.5,1,67,45.8,7463,6123
1776591354.1457813,171.7,20.52,32.87,10.5,1,67,45.8,7463,6123
1776591354.180475,154.03,21.13,32.47,10.5,1,67,45.8,7463,6123
1776591354.2135472,158.93,20.74,31.01,10.5,1,67,45.8,7463,6123
1776591354.2475147,158.59,20.79,31.94,10.5,1,67,45.8,7463,6123
1776591354.2803166,152.38,20.73,30.56,10.5,1,67,45.8,7463,6123
1776591354.3104346,157.34,19.99,28.33,10.5,1,67,45.8,7463,6123
1776591354.3407028,153.8,20.14,28.38,10.5,1,67,45.8,7463,6123
1776591354.3708878,168.22,19.79,28.43,10.5,2,67,45.8,7463,6123
1776591354.4011571,163.47,19.61,28.54,10.5,1,67,45.8,7463,6123
1776591354.430835,159.96,19.47,27.98,10.5,1,67,45.8,7463,6123
1776591354.461609,158.28,20.18,28.98,10.5,2,67,45.8,7463,6123
1776591354.4917467,153.11,19.66,28.39,10.4,1,67,45.8,7463,6123
1776591354.5233567,152.61,21.07,29.89,10.5,1,67,45.8,7463,6123
1776591354.5537667,165.61,19.8,28.62,10.4,1,67,45.8,7463,6123
1776591354.583781,164.06,19.75,28.38,10.5,2,67,45.8,7463,6123
1776591354.613843,160.32,19.75,28.39,10.5,1,67,45.8,7463,6123
1776591354.6442294,157.67,19.87,28.67,10.5,1,67,45.8,7463,6123
1776591354.6756496,155.22,19.99,29.75,10.4,1,67,45.8,7463,6123
1776591354.7059302,151.58,19.81,28.5,10.4,1,67,45.8,7463,6123
1776591354.7364798,165.28,19.8,28.83,10.4,1,67,45.8,7463,6123
1776591354.7666564,163.23,20.08,28.48,10.4,1,67,45.8,7463,6123
1776591354.7963653,160.06,19.55,27.91,10.4,1,67,45.8,7463,6123
1776591354.8264012,155.48,19.66,28.34,10.5,1,67,45.8,7463,6123
1776591354.8567598,154.21,19.96,28.74,10.5,1,67,45.8,7463,6123
1776591354.8862484,166.15,20.0,27.81,10.4,1,67,44.3,7423,6125
1776591354.9245903,160.48,24.68,36.7,10.4,1,67,44.3,7423,6125
1776591354.956608,167.88,21.69,29.7,10.5,1,67,44.3,7423,6125
