timestamp,event,state,detections,nav_state
1776597252.7100086,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597252.7111366,ARM_CMD,TRACKING,0,0
1776597252.8124735,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597252.8137195,ARM_CMD,TRACKING,0,0
1776597252.9096375,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597252.9105825,ARM_CMD,TRACKING,0,0
1776597253.0098844,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597253.011035,ARM_CMD,TRACKING,0,0
1776597253.109621,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597253.1105528,ARM_CMD,TRACKING,0,0
1776597253.209431,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597253.210386,ARM_CMD,TRACKING,0,0
1776597253.309624,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597253.3106353,ARM_CMD,TRACKING,0,0
1776597253.4097738,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597253.41073,ARM_CMD,TRACKING,0,0
1776597253.5096579,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597253.510612,ARM_CMD,TRACKING,0,0
1776597253.6096842,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597253.6106946,ARM_CMD,TRACKING,0,0
1776597253.7095592,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597253.7122488,ARM_CMD,TRACKING,0,0
1776597253.8097138,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597253.8109102,ARM_CMD,TRACKING,0,0
1776597253.9095733,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597253.9126687,ARM_CMD,TRACKING,0,0
1776597254.009518,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597254.0108116,ARM_CMD,TRACKING,0,0
1776597254.1097097,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597254.113272,ARM_CMD,TRACKING,0,0
1776597254.2096653,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597254.2110875,ARM_CMD,TRACKING,0,0
1776597254.3096468,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597254.3119683,ARM_CMD,TRACKING,0,0
1776597254.409788,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597254.4124005,ARM_CMD,TRACKING,0,0
1776597254.509602,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597254.5201519,ARM_CMD,TRACKING,0,0
1776597254.6095731,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597254.610605,ARM_CMD,TRACKING,0,0
1776597254.710837,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597254.7122478,ARM_CMD,TRACKING,0,0
1776597254.8131094,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597254.814449,ARM_CMD,TRACKING,0,0
1776597254.9096315,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597254.910869,ARM_CMD,TRACKING,0,0
1776597255.0095057,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597255.010445,ARM_CMD,TRACKING,0,0
1776597255.1101184,OFFBOARD_MODE_CMD,TRACKING,0,0
