event_id,label_type,time,count,maglat,Bmag,in_saa,detector,channel,note
21,e,2024-02-01 06:15:00+00:00,0.2488888888888888,43.8,37728.5,False,metop03,omni_p6,
22,o,2024-02-09 05:30:00+00:00,0.4922222222222222,-30.7,27220.5,False,metop03,omni_p6,
23,p,2024-02-10 02:15:00+00:00,799.6322222222223,-43.2,21491.1,True,metop03,omni_p6,
23,e,2024-02-12 07:30:00+00:00,0.2088888888888888,40.8,34504.3,False,metop03,omni_p6,
24,o,2024-02-12 05:00:00+00:00,0.7033333333333334,-29.9,23900.0,True,metop03,omni_p6,
24,p,2024-02-13 01:15:00+00:00,976.8338888888889,-33.8,18328.4,True,metop03,omni_p6,
24,e,2024-02-20 09:15:00+00:00,19.167777777777776,19.8,24648.3,True,metop03,omni_p6,
25,o,2024-03-15 04:15:00+00:00,0.4944444444444444,32.7,29160.8,False,metop03,omni_p6,
25,p,2024-03-16 01:45:00+00:00,549.51,-63.0,27984.3,False,metop03,omni_p6,
25,e,2024-03-19 08:30:00+00:00,5.2844444444444445,29.9,28796.4,False,metop03,omni_p6,
26,o,2024-03-22 15:15:00+00:00,0.3377777777777778,1.7,27776.2,False,metop03,omni_p6,
26,p,2024-03-24 14:00:00+00:00,188.8705555555556,-62.7,32781.8,False,metop03,omni_p6,
26,e,2024-03-31 01:30:00+00:00,51.77055555555556,-77.5,33790.6,False,metop03,omni_p6,
27,o,2024-05-09 15:45:00+00:00,0.7122222222222222,81.6,39670.5,False,metop03,omni_p6,
27,p,2024-05-11 12:00:00+00:00,630.6605555555556,25.0,22537.1,True,metop03,omni_p6,
27,e,2024-05-13 11:00:00+00:00,0.7244444444444444,74.1,39687.3,False,metop03,omni_p6,
28,o,2024-05-13 07:15:00+00:00,0.6377777777777778,20.5,24155.7,True,metop03,omni_p6,
28,p,2024-05-14 01:30:00+00:00,915.8272222222222,-42.7,20523.6,True,metop03,omni_p6,
28,e,2024-05-19 18:30:00+00:00,0.1722222222222222,-21.7,24301.0,True,metop03,omni_p6,
29,o,2024-06-07 16:15:00+00:00,1.4088888888888889,-9.8,19689.4,True,metop03,omni_p6,
29,p,2024-06-08 08:30:00+00:00,479.5472222222222,55.7,37417.0,False,metop03,omni_p6,
29,e,2024-06-11 22:45:00+00:00,0.8200000000000001,86.2,39902.0,False,metop03,omni_p6,
30,o,2024-07-22 16:45:00+00:00,0.5688888888888889,46.9,38407.1,False,metop03,omni_p6,
30,p,2024-07-23 12:00:00+00:00,640.2172222222222,-8.7,16888.8,True,metop03,omni_p6,
30,e,2024-07-26 18:00:00+00:00,0.6655555555555555,-73.1,40351.5,False,metop03,omni_p6,
31,o,2024-08-05 06:15:00+00:00,0.3333333333333333,-52.9,32387.6,False,metop03,omni_p6,
31,p,2024-08-05 21:30:00+00:00,24.401666666666667,-48.9,21106.5,True,metop03,omni_p6,
31,e,2024-08-07 06:15:00+00:00,0.5888888888888889,73.1,41050.4,False,metop03,omni_p6,
32,o,2024-09-01 05:15:00+00:00,0.3744444444444444,-53.9,30358.2,False,metop03,omni_p6,
32,p,2024-09-03 12:45:00+00:00,3.1666666666666665,-53.0,25833.2,False,metop03,omni_p6,
32,e,2024-09-06 16:15:00+00:00,0.4133333333333333,55.7,37298.8,False,metop03,omni_p6,
33,o,2024-09-08 18:30:00+00:00,0.6322222222222222,36.5,33153.3,False,metop03,omni_p6,
33,p,2024-09-10 00:45:00+00:00,1.2916666666666667,15.4,19769.3,True,metop03,omni_p6,
33,e,2024-09-11 05:30:00+00:00,0.4022222222222222,19.4,24002.5,True,metop03,omni_p6,
36,o,2024-09-14 08:15:00+00:00,0.4566666666666667,67.8,40271.8,False,metop03,omni_p6,
