timestamp,window_d,k,wp_eval_ms,dds_transport_ms,fsm_infer_ms,node_latency_ms,ap_state,rpn_result,fail_count,trigger_channels,gpu_%,cpu_%,power_mW,ram_MB
1781431778.2185342,30,10,2.5112,1.04,0.0388,0.464,NOMINAL,NORMAL,0,,0,13.8,4848,3072
1781431778.3438656,30,10,2.6877,0.964,0.0236,0.259,NOMINAL,NORMAL,0,,0,13.8,4848,3072
1781431778.4691281,30,10,2.8185,1.042,0.0374,0.381,NOMINAL,NORMAL,0,,0,13.8,4848,3072
1781431778.5941455,30,10,2.862,1.024,0.0382,0.37,NOMINAL,NORMAL,0,,68,13.5,4880,3072
1781431778.7174535,30,10,1.5333,0.892,0.0363,0.364,NOMINAL,NORMAL,0,,68,13.5,4880,3072
1781431778.8444195,30,10,3.2166,0.983,0.0383,0.376,NOMINAL,NORMAL,0,,68,13.5,4880,3072
1781431778.969207,30,10,2.947,1.008,0.0359,0.373,NOMINAL,NORMAL,0,,68,13.5,4880,3072
1781431779.0935438,30,10,2.5089,1.082,0.0368,0.383,NOMINAL,NORMAL,0,,68,13.5,4880,3072
1781431779.2192452,30,10,2.7376,1.266,0.034,0.358,NOMINAL,NORMAL,0,,68,13.5,4880,3072
1781431779.343057,30,10,2.2525,0.746,0.0251,0.249,NOMINAL,NORMAL,0,,68,13.5,4880,3072
1781431779.4683948,30,10,2.3174,0.81,0.0252,0.403,NOMINAL,NORMAL,0,,68,13.5,4880,3072
1781431779.5943115,30,10,2.9078,1.024,0.0394,0.468,NOMINAL,NORMAL,0,,81,13.3,4880,3072
1781431779.718132,30,10,2.4808,0.926,0.0245,0.281,NOMINAL,NORMAL,0,,81,13.3,4880,3072
1781431779.84403,30,10,2.8022,0.974,0.0378,0.371,NOMINAL,NORMAL,0,,81,13.3,4880,3072
1781431779.969029,30,10,2.8123,1.047,0.0339,0.35,NOMINAL,NORMAL,0,,81,13.3,4880,3072
1781431780.0928845,30,10,1.6494,0.953,0.0392,0.49,NOMINAL,NORMAL,0,,81,13.3,4880,3072
1781431780.2189648,30,10,2.7685,0.962,0.0355,0.361,NOMINAL,NORMAL,0,,81,13.3,4880,3072
1781431780.342864,30,10,1.6177,0.898,0.0372,0.549,NOMINAL,NORMAL,0,,81,13.3,4880,3072
1781431780.4672008,30,10,1.5679,0.849,0.0349,0.344,NOMINAL,NORMAL,0,,81,13.3,4880,3072
1781431780.5942383,30,10,2.9152,1.15,0.032,0.335,NOMINAL,NORMAL,0,,99,14.5,4880,3072
1781431780.7187152,30,10,2.7543,0.982,0.037,0.535,NOMINAL,NORMAL,0,,99,14.5,4880,3072
1781431780.8440256,30,10,2.869,0.962,0.0341,0.363,NOMINAL,NORMAL,0,,99,14.5,4880,3072
1781431780.968287,30,10,2.5286,0.716,0.0219,0.244,NOMINAL,NORMAL,0,,99,14.5,4880,3072
1781431781.0929453,30,10,2.0683,1.013,0.0357,0.376,NOMINAL,NORMAL,0,,99,14.5,4880,3072
1781431781.2195072,30,10,2.7792,1.313,0.0361,0.543,NOMINAL,NORMAL,0,,99,14.5,4880,3072
1781431781.344033,30,10,2.7904,0.968,0.0259,0.367,NOMINAL,NORMAL,0,,99,14.5,4880,3072
1781431781.469141,30,10,2.8902,1.031,0.0346,0.373,NOMINAL,NORMAL,0,,99,14.5,4880,3072
1781431781.5941246,30,10,2.9421,0.957,0.0254,0.357,NOMINAL,NORMAL,0,,99,13.2,4880,3072
1781431781.718583,30,10,2.7564,0.997,0.0362,0.417,NOMINAL,NORMAL,0,,99,13.2,4880,3072
1781431781.8440995,30,10,2.873,1.004,0.0369,0.377,NOMINAL,NORMAL,0,,99,13.2,4880,3072
1781431781.9676232,30,10,1.802,0.741,0.0236,0.285,NOMINAL,NORMAL,0,,99,13.2,4880,3072
1781431782.0942192,30,10,2.858,1.107,0.0372,0.392,NOMINAL,NORMAL,0,,99,13.2,4880,3072
1781431782.219086,30,10,2.7987,1.043,0.0353,0.384,NOMINAL,NORMAL,0,,99,13.2,4880,3072
1781431782.343304,30,10,2.4317,1.064,0.0357,0.375,NOMINAL,NORMAL,0,,99,13.2,4880,3072
1781431782.4691205,30,10,2.9044,1.012,0.0365,0.385,NOMINAL,NORMAL,0,,99,13.2,4880,3072
1781431782.5935526,30,10,2.7459,0.74,0.0234,0.248,NOMINAL,NORMAL,0,,99,14.2,4840,3072
1781431782.7174299,30,10,1.6033,1.009,0.0361,0.38,NOMINAL,NORMAL,0,,99,14.2,4840,3072
1781431782.844164,30,10,2.8944,1.015,0.0357,0.372,NOMINAL,NORMAL,0,,99,14.2,4840,3072
1781431782.9674032,30,10,1.5845,0.928,0.0353,0.359,NOMINAL,NORMAL,0,,99,14.2,4840,3072
1781431783.0930529,30,10,1.9949,1.031,0.0353,0.507,NOMINAL,NORMAL,0,,99,14.2,4840,3072
1781431783.2191806,30,10,2.8447,1.095,0.0362,0.354,NOMINAL,NORMAL,0,,99,14.2,4840,3072
1781431783.3440008,30,10,2.8304,1.026,0.036,0.384,NOMINAL,NORMAL,0,,99,14.2,4840,3072
1781431783.4691474,30,10,2.9234,1.028,0.0365,0.374,NOMINAL,NORMAL,0,,99,14.2,4840,3072
1781431783.5928192,30,10,2.0057,0.734,0.0233,0.253,NOMINAL,NORMAL,0,,99,14.7,4880,3072
1781431783.718858,30,10,2.7994,1.116,0.0759,0.485,NOMINAL,NORMAL,0,,99,14.7,4880,3072
1781431783.844004,30,10,2.8709,0.964,0.0325,0.35,NOMINAL,NORMAL,0,,99,14.7,4880,3072
1781431783.9673667,30,10,1.596,0.947,0.035,0.37,NOMINAL,NORMAL,0,,99,14.7,4880,3072
1781431784.0942032,30,10,3.013,0.992,0.036,0.367,NOMINAL,NORMAL,0,,99,14.7,4880,3072
1781431784.2187707,30,10,2.8163,0.787,0.0236,0.292,NOMINAL,NORMAL,0,,99,14.7,4880,3072
1781431784.3443038,30,10,2.8736,1.04,0.0361,0.477,NOMINAL,NORMAL,0,,99,14.7,4880,3072
1781431784.46927,30,10,3.0224,1.023,0.0339,0.354,NOMINAL,NORMAL,0,,99,14.7,4880,3072
1781431784.592632,30,10,1.6919,0.929,0.0319,0.344,NOMINAL,NORMAL,0,,99,13.3,4920,3072
1781431784.7189682,30,10,2.8359,0.972,0.0307,0.324,NOMINAL,NORMAL,0,,99,13.3,4920,3072
1781431784.8440773,30,10,2.9185,0.968,0.0347,0.358,NOMINAL,NORMAL,0,,99,13.3,4920,3072
1781431784.9690955,30,10,2.9964,1.057,0.0361,0.377,NOMINAL,NORMAL,0,,99,13.3,4920,3072
1781431785.0942051,30,10,2.9777,1.004,0.0372,0.374,NOMINAL,NORMAL,0,,99,13.3,4920,3072
1781431785.2181268,30,10,2.201,0.833,0.0238,0.253,NOMINAL,NORMAL,0,,99,13.3,4920,3072
1781431785.3442166,30,10,2.9683,1.003,0.0351,0.377,NOMINAL,NORMAL,0,,99,13.3,4920,3072
1781431785.4693482,30,10,2.9893,0.999,0.0378,0.502,NOMINAL,NORMAL,0,,99,13.3,4920,3072
1781431785.5936558,30,10,2.9685,0.655,0.0212,0.221,NOMINAL,NORMAL,0,,99,14.0,4880,3073
1781431785.7185242,30,10,2.7665,0.962,0.0356,0.364,NOMINAL,NORMAL,0,,99,14.0,4880,3073
1781431785.8438923,30,10,2.9864,0.806,0.0227,0.252,NOMINAL,NORMAL,0,,99,14.0,4880,3073
1781431785.9691608,30,10,3.0036,0.985,0.035,0.363,NOMINAL,NORMAL,0,,99,14.0,4880,3073
1781431786.0930593,30,10,2.3159,0.935,0.0332,0.34,NOMINAL,NORMAL,0,,99,14.0,4880,3073
1781431786.2177827,30,10,1.6282,0.964,0.037,0.393,NOMINAL,NORMAL,0,,99,14.0,4880,3073
1781431786.3440514,30,10,2.9187,0.974,0.036,0.363,NOMINAL,NORMAL,0,,99,14.0,4880,3073
1781431786.469151,30,10,2.9676,0.913,0.0324,0.445,NOMINAL,NORMAL,0,,99,14.0,4880,3073
1781431786.5928264,30,10,2.1232,0.925,0.0338,0.337,NOMINAL,NORMAL,0,,99,13.2,4880,3073
1781431786.7200515,30,10,2.8959,1.899,0.0374,0.41,NOMINAL,NORMAL,0,,99,13.2,4880,3073
1781431786.8432043,30,10,2.4187,0.734,0.0224,0.248,NOMINAL,NORMAL,0,,99,13.2,4880,3073
1781431786.9692962,30,10,3.0199,1.024,0.0346,0.372,NOMINAL,NORMAL,0,,99,13.2,4880,3073
1781431787.094443,30,10,2.9723,1.244,0.0347,0.372,NOMINAL,NORMAL,0,,99,13.2,4880,3073
1781431787.2174132,30,10,1.6626,0.916,0.0363,0.377,NOMINAL,NORMAL,0,,99,13.2,4880,3073
1781431787.3442214,30,10,2.9824,1.026,0.0361,0.373,NOMINAL,NORMAL,0,,99,13.2,4880,3073
1781431787.4689536,30,10,2.9987,0.838,0.0243,0.249,NOMINAL,NORMAL,0,,99,13.2,4880,3073
1781431787.5935822,30,10,2.8628,0.909,0.0318,0.328,NOMINAL,NORMAL,0,,58,12.8,4888,3073
1781431787.71913,30,10,2.8937,1.046,0.0347,0.364,NOMINAL,NORMAL,0,,58,12.8,4888,3073
1781431787.8426163,30,10,1.6988,0.785,0.0228,0.31,NOMINAL,NORMAL,0,,58,12.8,4888,3073
1781431787.9674747,30,10,1.6519,0.955,0.0369,0.364,NOMINAL,NORMAL,0,,58,12.8,4888,3073
1781431788.0940526,30,10,3.0266,0.862,0.0342,0.337,NOMINAL,NORMAL,0,,58,12.8,4888,3073
1781431788.2181473,30,10,2.7202,0.769,0.0242,0.267,NOMINAL,NORMAL,0,,58,12.8,4888,3073
1781431788.3441675,30,10,2.9739,0.999,0.0354,0.375,NOMINAL,NORMAL,0,,58,12.8,4888,3073
1781431788.4688134,30,10,2.7255,1.01,0.0226,0.253,NOMINAL,NORMAL,0,,58,12.8,4888,3073
1781431788.5946114,30,10,3.0188,1.342,0.0367,0.405,NOMINAL,NORMAL,0,,12,13.5,4888,3073
1781431788.719466,30,10,2.9338,1.301,0.036,0.38,NOMINAL,NORMAL,0,,12,13.5,4888,3073
1781431788.8423712,30,10,1.6246,0.899,0.0355,0.369,NOMINAL,NORMAL,0,,12,13.5,4888,3073
1781431788.9692075,30,10,2.9837,1.019,0.0356,0.361,NOMINAL,NORMAL,0,,12,13.5,4888,3073
1781431789.0943034,30,10,3.0143,1.134,0.0231,0.249,NOMINAL,NORMAL,0,,12,13.5,4888,3073
1781431789.2176592,30,10,1.8354,0.744,0.022,0.249,NOMINAL,NORMAL,0,,12,13.5,4888,3073
1781431789.3441882,30,10,2.9649,1.003,0.0347,0.349,NOMINAL,NORMAL,0,,12,13.5,4888,3073
1781431789.4677558,30,10,1.9871,0.734,0.023,0.246,NOMINAL,NORMAL,0,,12,13.5,4888,3073
1781431789.5935829,30,10,2.4106,1.009,0.0366,0.373,NOMINAL,NORMAL,0,,12,13.5,4888,3073
1781431789.718822,30,10,2.8818,1.04,0.0401,0.437,NOMINAL,NORMAL,0,,5,13.7,4848,3073
1781431789.8431175,30,10,2.0906,1.179,0.0373,0.38,NOMINAL,NORMAL,0,,5,13.7,4848,3073
1781431789.9693384,30,10,3.0138,1.044,0.0372,0.376,NOMINAL,NORMAL,0,,5,13.7,4848,3073
1781431790.0938146,30,10,3.0518,0.739,0.0246,0.253,NOMINAL,NORMAL,0,,5,13.7,4848,3073
1781431790.217744,30,10,1.6556,1.056,0.0367,0.406,NOMINAL,NORMAL,0,,5,13.7,4848,3073
1781431790.3431292,30,10,1.6669,1.24,0.038,0.386,NOMINAL,NORMAL,0,,5,13.7,4848,3073
1781431790.4681022,30,10,1.7537,1.239,0.0361,0.387,NOMINAL,NORMAL,0,,5,13.7,4848,3073
1781431790.5943918,30,10,3.0262,1.194,0.0242,0.352,NOMINAL,NORMAL,0,,5,13.7,4848,3073
1781431790.7193344,30,10,2.9761,1.096,0.0362,0.38,NOMINAL,NORMAL,0,,7,13.8,4880,3074
1781431790.8430877,30,10,2.1942,0.794,0.0251,0.257,NOMINAL,NORMAL,0,,7,13.8,4880,3074
1781431790.9682596,30,10,2.4387,0.759,0.0231,0.249,NOMINAL,NORMAL,0,,7,13.8,4880,3074
1781431791.0929432,30,10,2.299,0.674,0.0248,0.248,NOMINAL,NORMAL,0,,7,13.8,4880,3074
1781431791.2189512,30,10,2.9492,1.069,0.0375,0.384,NOMINAL,NORMAL,0,,7,13.8,4880,3074
1781431791.3445296,30,10,3.0319,1.257,0.0376,0.381,NOMINAL,NORMAL,0,,7,13.8,4880,3074
1781431791.4674096,30,10,1.6418,0.953,0.0392,0.381,NOMINAL,NORMAL,0,,7,13.8,4880,3074
1781431791.594269,30,10,3.0873,1.003,0.0368,0.376,NOMINAL,NORMAL,0,,7,13.8,4880,3074
1781431791.7191026,30,10,2.7348,1.215,0.0245,0.3,NOMINAL,NORMAL,0,,6,13.7,4880,3074
1781431791.8445594,30,10,3.0431,1.17,0.0372,0.386,NOMINAL,NORMAL,0,,6,13.7,4880,3074
