08-09-2026 19:35:08 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,1%@729,16%@729,2%@729,5%@729,1%@729] GR3D_FREQ 11% cpu@48.187C soc2@47.437C soc0@46.156C gpu@47.718C tj@48.187C soc1@45.875C VDD_IN 4505mW/4417mW VDD_CPU_GPU_CV 796mW/752mW VDD_SOC 1355mW/1352mW
08-09-2026 19:35:09 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@1510,1%@1510,4%@1510,2%@1510,11%@729,1%@729] GR3D_FREQ 8% cpu@48.281C soc2@47.343C soc0@46.062C gpu@47.687C tj@48.281C soc1@45.968C VDD_IN 4465mW/4418mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1395mW/1353mW
08-09-2026 19:35:10 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@1510,1%@1510,6%@1510,1%@1510,14%@729,1%@729] GR3D_FREQ 12% cpu@48.312C soc2@47.5C soc0@46.093C gpu@47.468C tj@48.312C soc1@45.843C VDD_IN 4465mW/4419mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1355mW/1353mW
08-09-2026 19:35:11 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@1510,3%@1510,3%@1510,1%@1510,16%@729,0%@729] GR3D_FREQ 11% cpu@48.5C soc2@47.468C soc0@46.062C gpu@47.375C tj@48.5C soc1@45.812C VDD_IN 4432mW/4419mW VDD_CPU_GPU_CV 757mW/753mW VDD_SOC 1355mW/1353mW
08-09-2026 19:35:12 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [2%@729,3%@729,3%@729,1%@729,18%@729,0%@729] GR3D_FREQ 9% cpu@48.187C soc2@47.406C soc0@46.031C gpu@47.625C tj@48.187C soc1@45.968C VDD_IN 4465mW/4420mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1355mW/1353mW
08-09-2026 19:35:13 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [2%@729,2%@729,2%@729,0%@729,16%@729,1%@729] GR3D_FREQ 8% cpu@48.187C soc2@47.5C soc0@46.062C gpu@47.656C tj@48.187C soc1@45.968C VDD_IN 4425mW/4420mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1355mW/1353mW
08-09-2026 19:35:14 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [4%@729,2%@729,5%@729,0%@729,14%@729,2%@729] GR3D_FREQ 7% cpu@48.375C soc2@47.406C soc0@46.062C gpu@47.718C tj@48.375C soc1@46.093C VDD_IN 4432mW/4420mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1355mW/1353mW
08-09-2026 19:35:15 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [5%@1510,1%@1510,3%@1510,1%@1510,17%@729,3%@729] GR3D_FREQ 8% cpu@48.187C soc2@47.343C soc0@46C gpu@47.781C tj@48.187C soc1@45.812C VDD_IN 4425mW/4420mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1355mW/1353mW
08-09-2026 19:35:16 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [4%@1510,2%@1510,15%@1510,1%@1510,1%@729,2%@729] GR3D_FREQ 7% cpu@48.531C soc2@47.312C soc0@45.968C gpu@47.531C tj@48.531C soc1@45.843C VDD_IN 4432mW/4421mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1355mW/1353mW
08-09-2026 19:35:17 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,3%@729,8%@729,1%@729,13%@729,1%@729] GR3D_FREQ 7% cpu@48.125C soc2@47.5C soc0@45.968C gpu@47.406C tj@48.125C soc1@45.906C VDD_IN 4432mW/4421mW VDD_CPU_GPU_CV 756mW/753mW VDD_SOC 1355mW/1353mW
