phys_ts,n_channels,zbuf_update_ms
1642207500.0,1,0.03018
1642208400.0,1,0.03539
1642209300.0,1,0.02419
1642210200.0,1,0.02368
1642211100.0,1,0.02131
1642212000.0,1,0.02778
1642212900.0,1,0.02602
1642213800.0,1,0.02845
1642214700.0,1,0.02086
1642215600.0,1,0.03142
1642216500.0,1,0.02515
1642217400.0,1,0.02682
1642218300.0,1,0.02973
1642219200.0,1,0.02515
1642220100.0,1,0.02493
1642221000.0,1,0.02563
1642221900.0,1,0.02688
1642222800.0,1,0.0369
1642223700.0,1,0.03296
1642224600.0,1,0.0296
1642225500.0,1,0.02554
1642226400.0,1,0.02176
1642227300.0,1,0.02598
1642228200.0,1,0.01843
1642229100.0,1,0.02816
1642230000.0,1,0.01306
1642230900.0,1,0.04019
1642231800.0,1,0.02864
1642232700.0,1,0.0257
1642233600.0,1,0.0232
1642234500.0,1,0.01927
1642235400.0,1,0.02291
1642236300.0,1,0.02115
1642237200.0,1,0.03088
1642238100.0,1,0.03511
1642239000.0,1,0.02493
1642239900.0,1,0.02451
1642240800.0,1,0.03466
1642241700.0,1,0.03683
1642242600.0,1,0.03187
1642243500.0,1,0.02557
1642244400.0,1,0.03078
1642245300.0,1,0.02403
1642246200.0,1,0.01741
1642247100.0,1,0.00912
1642248000.0,1,0.03443
1642248900.0,1,0.02957
1642249800.0,1,0.03238
1642250700.0,1,0.02829
1642251600.0,1,0.03507
1642252500.0,1,0.03805
1642253400.0,1,0.02406
1642254300.0,1,0.03024
1642255200.0,1,0.02848
1642256100.0,1,0.02307
1642257000.0,1,0.02218
1642257900.0,1,0.02259
1642258800.0,1,0.02682
1642259700.0,1,0.02803
1642260600.0,1,0.02819
1642261500.0,1,0.02499
1642262400.0,1,0.024
1642263300.0,1,0.02685
1642264200.0,1,0.02742
1642265100.0,1,0.02333
1642266000.0,1,0.01027
1642266900.0,1,0.03341
1642267800.0,1,0.02723
1642268700.0,1,0.02592
1642269600.0,1,0.02656
1642270500.0,1,0.02019
1642271400.0,1,0.02086
1642272300.0,1,0.01875
1642273200.0,1,0.01002
1642274100.0,1,0.03594
1642275000.0,1,0.02854
1642275900.0,1,0.02211
1642276800.0,1,0.0217
1642277700.0,1,0.0207
1642278600.0,1,0.01594
1642279500.0,1,0.0336
1642280400.0,1,0.03805
1642281300.0,1,0.02845
1642282200.0,1,0.03312
1642283100.0,1,0.03162
