config,variant,threshold,ground_truth,n_det_raw,n_cat,n_det,pod,far,n_hit,n_fa,n_fa_saa,n_events_total,n_events_tp,n_events_fa,event_far,TP,FP,FN,precision,recall,f1,onset_diff_h_median,onset_diff_h_p25,onset_diff_h_p75,onset_diff_h_n
B_gated_tcn,break,0.98,manual,165,53,165,0.41509433962264153,0.6303030303030303,22,104,,25,21,4,0.15384615384615385,22,4,31,0.8461538461538461,0.41509433962264153,0.5569620253164558,14.25,8.4375,18.25,22
B_gated_tcn,skip,0.98,noaa,110,42,110,0.9523809523809523,0.3,40,33,,55,38,17,0.2982456140350877,40,17,2,0.7017543859649122,0.9523809523809523,0.8080808080808081,1.0833333333333335,-0.5833333333333334,2.9375,40
B_gated_tcn,skip,0.98,manual,110,53,110,0.660377358490566,0.5,35,55,,55,35,20,0.36363636363636365,35,20,18,0.6363636363636364,0.660377358490566,0.6481481481481481,11.25,7.75,16.375,35
C_alert_and_tcn,na,0.98,noaa,203,42,203,0.7142857142857143,0.2955665024630542,30,60,,27,25,2,0.0625,30,2,12,0.9375,0.7142857142857143,0.8108108108108109,2.291666666666667,1.1041666666666667,4.395833333333334,30
C_alert_and_tcn,na,0.98,manual,203,53,203,0.41509433962264153,0.6108374384236454,22,124,,27,22,5,0.18518518518518517,22,5,31,0.8148148148148148,0.41509433962264153,0.55,10.0,7.875,15.8125,22
A_tcn_only,na,0.99,noaa,217,42,217,0.9523809523809523,0.47465437788018433,40,103,,45,35,10,0.2,40,10,2,0.8,0.9523809523809523,0.8695652173913043,1.4583333333333333,0.3125,3.354166666666667,40
A_tcn_only,na,0.99,manual,217,53,217,0.6226415094339622,0.6682027649769585,33,145,,45,31,14,0.2978723404255319,33,14,20,0.7021276595744681,0.6226415094339622,0.66,10.0,7.25,16.0,33
B_gated_tcn,break,0.99,noaa,148,42,148,0.6666666666666666,0.32432432432432434,28,48,,26,24,2,0.06666666666666667,28,2,14,0.9333333333333333,0.6666666666666666,0.7777777777777778,2.7083333333333335,1.7291666666666665,7.375,28
B_gated_tcn,break,0.99,manual,148,53,148,0.41509433962264153,0.6554054054054054,22,97,,26,22,4,0.15384615384615385,22,4,31,0.8461538461538461,0.41509433962264153,0.5569620253164558,14.625,9.3125,18.3125,22
B_gated_tcn,skip,0.99,noaa,136,42,136,0.9047619047619048,0.3382352941176471,38,46,,54,36,18,0.32142857142857145,38,18,4,0.6785714285714286,0.9047619047619048,0.7755102040816326,1.125,0.020833333333333332,2.9791666666666665,38
B_gated_tcn,skip,0.99,manual,136,53,136,0.6037735849056604,0.5588235294117647,32,76,,54,34,20,0.38461538461538464,32,20,21,0.6153846153846154,0.6037735849056604,0.6095238095238096,9.625,7.125,15.4375,32
C_alert_and_tcn,na,0.99,noaa,187,42,187,0.7142857142857143,0.3155080213903743,30,59,,28,26,2,0.0625,30,2,12,0.9375,0.7142857142857143,0.8108108108108109,2.458333333333333,1.5,4.729166666666667,30
C_alert_and_tcn,na,0.99,manual,187,53,187,0.41509433962264153,0.6310160427807486,22,118,,28,23,5,0.18518518518518517,22,5,31,0.8148148148148148,0.41509433962264153,0.55,10.25,8.5625,15.8125,22
A_tcn_only,na,0.995,noaa,188,42,188,0.8571428571428571,0.4095744680851064,36,77,,37,31,6,0.14285714285714285,36,6,6,0.8571428571428571,0.8571428571428571,0.8571428571428571,2.125,1.1458333333333335,4.354166666666666,36
A_tcn_only,na,0.995,manual,188,53,188,0.5283018867924528,0.6329787234042553,28,119,,37,27,10,0.2631578947368421,28,10,25,0.7368421052631579,0.5283018867924528,0.6153846153846154,11.625,8.1875,16.9375,28
B_gated_tcn,break,0.995,noaa,132,42,132,0.6428571428571429,0.3333333333333333,27,44,,24,23,1,0.03571428571428571,27,1,15,0.9642857142857143,0.6428571428571429,0.7714285714285715,4.25,1.9583333333333335,8.583333333333332,27
B_gated_tcn,break,0.995,manual,132,53,132,0.39622641509433965,0.6666666666666666,21,88,,24,21,3,0.125,21,3,32,0.875,0.39622641509433965,0.5454545454545454,16.25,9.5,18.75,21
B_gated_tcn,skip,0.995,noaa,153,42,153,0.8571428571428571,0.3464052287581699,36,53,,45,33,12,0.25,36,12,6,0.75,0.8571428571428571,0.7999999999999999,1.75,0.9791666666666666,4.291666666666667,36
B_gated_tcn,skip,0.995,manual,153,53,153,0.5471698113207547,0.6078431372549019,29,93,,45,28,17,0.3695652173913043,29,17,24,0.6304347826086957,0.5471698113207547,0.5858585858585859,11.5,8.0,16.75,29
C_alert_and_tcn,na,0.995,noaa,171,42,171,0.6904761904761905,0.3157894736842105,29,54,,27,25,2,0.06451612903225806,29,2,13,0.9354838709677419,0.6904761904761905,0.7945205479452055,2.75,1.6666666666666667,6.583333333333333,29
C_alert_and_tcn,na,0.995,manual,171,53,171,0.39622641509433965,0.6491228070175439,21,111,,27,22,5,0.19230769230769232,21,5,32,0.8076923076923077,0.39622641509433965,0.5316455696202532,10.5,8.5,16.75,21
A_tcn_only,na,0.999,noaa,103,42,103,0.6904761904761905,0.3786407766990291,29,39,,28,25,3,0.09375,29,3,13,0.90625,0.6904761904761905,0.7837837837837837,5.333333333333333,3.1666666666666665,8.75,29
A_tcn_only,na,0.999,manual,103,53,103,0.37735849056603776,0.6990291262135923,20,72,,28,21,7,0.25925925925925924,20,7,33,0.7407407407407407,0.37735849056603776,0.5,14.625,9.9375,18.8125,20
